Sig	ips	exposure	denovo
Skin_C	HPSI0115i-payf_1	0	denovo
UV_Skin_D	HPSI0115i-payf_1	0	denovo
Skin_E	HPSI0115i-payf_1	0	denovo
Skin_F	HPSI0115i-payf_1	0	denovo
Skin_G	HPSI0115i-payf_1	143.825581395349	denovo
Skin_H	HPSI0115i-payf_1	317.930232558139	denovo
Skin_I	HPSI0115i-payf_1	205.393023255814	denovo
UV_Skin_J	HPSI0115i-payf_1	0	denovo
Culture	HPSI0115i-payf_2	867.117345485617	denovo
Skin_B	HPSI0115i-payf_2	0	denovo
Skin_C	HPSI0115i-payf_2	0	denovo
UV_Skin_D	HPSI0115i-payf_2	0	denovo
Skin_E	HPSI0115i-payf_2	0	denovo
Skin_F	HPSI0115i-payf_2	0	denovo
Skin_G	HPSI0115i-payf_2	164.253489034463	denovo
Skin_H	HPSI0115i-payf_2	283.664767872401	denovo
Skin_I	HPSI0115i-payf_2	205.568783822273	denovo
UV_Skin_J	HPSI0115i-payf_2	0	denovo
Culture	HPSI0115i-qoog_4	879.325179249262	denovo
Skin_B	HPSI0115i-qoog_4	0	denovo
Skin_C	HPSI0115i-qoog_4	0	denovo
UV_Skin_D	HPSI0115i-qoog_4	606.292703500633	denovo
Skin_E	HPSI0115i-qoog_4	0	denovo
Skin_F	HPSI0115i-qoog_4	0	denovo
Skin_G	HPSI0115i-qoog_4	513.441585828764	denovo
Skin_H	HPSI0115i-qoog_4	667.022353437368	denovo
Skin_I	HPSI0115i-qoog_4	394.993673555462	denovo
UV_Skin_J	HPSI0115i-qoog_4	0	denovo
Culture	HPSI0115i-qoog_6	567.734806629834	denovo
Skin_B	HPSI0115i-qoog_6	0	denovo
Skin_C	HPSI0115i-qoog_6	0	denovo
UV_Skin_D	HPSI0115i-qoog_6	0	denovo
Skin_E	HPSI0115i-qoog_6	0	denovo
Skin_F	HPSI0115i-qoog_6	0	denovo
Skin_G	HPSI0115i-qoog_6	0	denovo
Skin_H	HPSI0115i-qoog_6	395.386740331492	denovo
Skin_I	HPSI0115i-qoog_6	327.968232044199	denovo
UV_Skin_J	HPSI0115i-qoog_6	0	denovo
Culture	HPSI0115i-rakz_6	478.353452019106	denovo
Skin_B	HPSI0115i-rakz_6	0	denovo
Skin_C	HPSI0115i-rakz_6	0	denovo
UV_Skin_D	HPSI0115i-rakz_6	0	denovo
Skin_E	HPSI0115i-rakz_6	0	denovo
Skin_F	HPSI0115i-rakz_6	0	denovo
Skin_G	HPSI0115i-rakz_6	0	denovo
Skin_H	HPSI0115i-rakz_6	264.51324359531	denovo
Skin_I	HPSI0115i-rakz_6	161.646982197134	denovo
UV_Skin_J	HPSI0115i-rakz_6	0	denovo
Culture	HPSI0115i-rehy_2	712.777891504606	denovo
Skin_B	HPSI0115i-rehy_2	0	denovo
Skin_C	HPSI0115i-rehy_2	0	denovo
UV_Skin_D	HPSI0115i-rehy_2	0	denovo
Skin_E	HPSI0115i-rehy_2	0	denovo
Skin_F	HPSI0115i-rehy_2	0	denovo
Skin_G	HPSI0115i-rehy_2	161.441146366428	denovo
Skin_H	HPSI0115i-rehy_2	197.486182190379	denovo
Skin_I	HPSI0115i-rehy_2	254.85363357216	denovo
UV_Skin_J	HPSI0115i-rehy_2	0	denovo
Culture	HPSI0115i-rehy_3	527.442567567567	denovo
